airline,name,shortName,callSign,country,airlineUrl,phone
SFJ|StarFlyer||STARFLYER|||
SFL|Southflight Aviation Ltd|Southflight Aviation|Southflight|||
SFN|Safiran Airlines|Safiran|Safiran|Iran||
SFR|Safair Freighters|Safair|Cargo|||
SFS|Swiss Flight Services|Swiss Flight Services|Topo|Switzerland||
SFX|S.k. Logistics, Inc.|S.k. Logistics|Swamp Fox|||
SFY|FlightSafety Academy|FlightSafety Academy|Sky Flite|United States|http://www.flightsafetyacademy.com|800-800-1411
SFZ|Pionair Australia Pty Ltd|Pionair|Skyforce|Australia||
SGA|Air Saigon|Air Saigon|Air Saigon|||
SGB|Sky King Inc.|Sky King|Songbird|||
SGC|SPEC Energy|SPEC Energy|Spec Wings|San Marino||
SGD|South East Asian Airlines (SEAIR) International, Inc.|XplorAsia Airways|Air Blue|Philippines||
SGF|Swiss Government Flights|Swiss Government Flights|Stac|||
SGG|Saeaga Airlines|Saeaga|Saeaga|||
SGH|Servisair Ltd.|Servisair|Servisair|||
SGK|Skyward Aviation Ltd|Skyward Aviation Ltd|Skyward|Canada||
SGL|Senegalair|Senegalair|Senair|||
SGM|Sky Aircraft Service|Sky Aircraft Service|Sigma|||
SGN|Imperial Air Charter Ltd|Imperial Air Charter|Sovereign|||
SGP|Sagolair Transportes Ejecutivos S.L.|Nordjet Airlines|Sagolair|Spain||
SGQ|SaudiGulf Airlines|||Saudi Arabia|http://www.saudigulfairlines.com/|
SGS|Saskatchewan Government Executive Air Service|Saskatchewan Government Executive Air Service|Saskatchewan|Canada||
SGT|Skygate|Skygate|Skygate|||
SGU|Sol del Paraguay Lineas Areas S.A.|Sol del Paraguay|Solparaguayo|Paraguay||
SGV|Aerosegovia, S.A.|Aerosegovia|Segovia|||
SHA|Shree Airlines|Shree Airlines|Shree-Air|Nepal||
SHB|Shabair|Shabair|Shabair|||
SHC|Sky Harbor Air Service Inc.|Sky Harbor Air Service|Sky Harbor Cheyenne|||
SHD|Sahara Airlines|Sahara||India||
SHE|Shell Aircraft Ltd.|Shell Aircraft|Shell|United Kingdom||
SHF|Support Helicopter Force|Support Helicopter Force|Vortex|||
SHG|Shoprite Group Ltd|Shoprite Group Ltd|Shop Air|||
SHH|Sky High Aviation Services|Sky High Aviation Services|Sky High|Dominican Republic||
SHI|Sepehran Airlines|Sepehran Airlines|Shirazi|Iran||
SHJ|Sharjah Ruler's Flight|Sharjah Ruler's Flight|Sharjah|United Arab Emirates||
SHL|Samson Aviation Ltd|Samson Aviation Ltd|Samson|||
SHN|Shaheen Airport Services|Shaheen Airport Services|Sugar Alfa|||
SHP|Service Aerien Francais|Service Aerien Francais|Saf|||
SHS|Sunshine Aviation SA|Sunshine Aviation SA|Sunshine|||
SHT|British Airways Shuttle|British Airways Shuttle|Shuttle|||
SHU|Joint- Stock Company "Aurora Airlines"|Aurora|SATAIR|Russian Federation||
SHV|Shavano Air, Inc.|Shavano Air|Shavano|||
SHW|Air South, Inc. D/B/A Shawnee Airlines, Inc.|Air South|Shawnee|||
SHZ|AirShares Elite||Elite Shares||http://www.airshareselite.com|
SIA|Singapore Airlines Limited|Singapore Airlines|Singapore|Singapore|http://www.singaporeair.com/saa/|+1-800-742-3333
SIC|Air Sicilia Srl|Air Sicilia Srl|Air Sicilia|||
SID|Sidfin Air Limited|Sideral Air Crago|SIDERAL|Brazil|http://www.sideralaircargo.com.br/|
SIE|Sierra Express|Sierra Express|Serex|||
SIF|Air Sial Ltd|Air Sial|Air Sial|Pakistan||
SIK|Armadora S.A.|Armadora|Armadora|||
SIL|Silver Airways Corp.|Silver Airways|Silver Wings|United States||+1-954-985-1500
SIN|Sinair|Sinair|Sinairline|||
SIO|Sirio|Sirio|Sirio|||
SIP|Air Spirit Inc.|Air Spirit|Air Spirit|||
SIR|Salair, Inc.|Salair|Salair|United States||
SIS|Silver Air|Silver Air|Silver Speed|United States||
SIT|SITA|SITA||Belgium||
SIV|Slovenian Armed Forces|Slovenian Armed Forces|Slovenian|||
SIY|Executive Aviation Corporation||Serenity||http://www.executiveaviation.com/|305-972-3341
SIZ|Aero Silza, S.A. de C.V.|Aero Silza de C.V.|Aerosilza|||
SJA|Sawyer Aviation, LLC|Sawyer Aviation|Sawyer|United States||
SJB|SKS Airways|SKS Airways|Southern Tiger|Malaysia||
SJC|Servicios Ejecutivos Continental, S.A. de C.V.|Servicios Ejecutivos Continental de C.V.|Serviejecutivo|||
SJE|Sun Air Jets||Sun Journey|||
SJJ|Spirit Jets, LLC|Spirit Jets|Spirit Jet|||
SJM|Sino Jet Management||SINO SKY|||
SJN|Chartair, Inc. D/B/A Air San Juan|Chartair|San Juan|||
SJO|Spring Airlines Japan||JEY SPRING|Japan||
SJT|Swiss Jet Ltd.|Swiss Jet|Swiss Jet|Switzerland||
SJX|Starlux Airlines|Starlux|Starwalker |Taiwan||
SJY|Sriwijaya Air||SRIWIJAYA|Indonesia|http://www.sriwijayaair.co.id/|
SKA|Rio Air Express S/a|Rio Air Express S/a|Rio Express|||
SKB|Skybus Airlines|Skybus|Skybus|United States||
SKC|Skymaster Air Lines Ltda|Skymaster|Skymaster Air|||
SKD|Sky Harbor Air Service, Inc.|Sky Harbor Air Service|Sky Dawg|||
SKE|Sky Tours, Inc.|Sky Tours|Skyisle|||
SKF|Skycraft, Inc.|Skycraft|Skycraft|||
SKG|Skycraft Air Transport Inc.|Skycraft Air Transport|Skycraft-canada|Canada||
SKH|Sakha Airlines|Sakha Airlines|Air Sakha|||
SKK|ASKY Airlines|ASKY Airlines|ASKY AIRLINE|||
SKL|Skycharter|Skyline Aviation Ltd|Skycharter|Canada||
SKM|Fayetteville Flying Service And Scheduled Skyways System|Fayetteville Flying Service And Scheduled Skyways System|Skytem|||
SKN|Skyline Aviation Services, Inc.|Skyline Aviation Services|Skyliner|||
SKO|Scottish Airways Flyers Ltd|Scottish Airways Flyers|Skywork|||
SKP|Skytrans Airlines|Skytrans|Skytrans|||
SKQ|Labcorp, Inc.|Labcorp|Skylab|||
SKR|Shonkar|Shonkar|Shonkar|||
SKS|Sky Service|Sky Service|Sky Service|||
SKT|Sky Services Aviation, S.l.|Sky Services Aviation, S.l.|Star-jet|Spain||
SKU|Sky Airline|Sky Airline|Aerosky|Chile|http://www.skyairline.cl/|
SKV|Sky Regional|Sky Regional|Maple|||
SKW|SkyWest Airlines|SkyWest|SkyWest|United States|http://www.skywest.com/|
SKX|Sky Airline S.A.|Sky Airline|Sky Peru|Peru||
SKY|Skymark Airlines Co. Ltd|Skymark|Skymark|||
SKZ|Skyway Enterprises, Inc.|Skyway Enterprises|Skyway-Inc|United States||
SLA|Sierra National Airlines|Sierra National Airlines|Selair|||
SLC|Swiftlines Limited|Swiftlines Limited|Swiftlines|||
SLD|Silver Air Ltd.|Silver Air|Silverline|Czech Republic||
SLE|Streamline CC|Streamline CC|Slipstream|||
SLF|Skyline Flights GMBH, Hannover-Flughafen-GAT-2|Skyline Flights|Skyship|||
SLG|Saskatchewan Government Air Ambulance Service|Saskatchewan Government Air Ambulance Service|Lifeguard|Canada||
SLH|Silverhawk Aviation, Inc.|Silverhawk Aviation|Silverhawk|United States||
SLI|Servicios Aereos Litoral, S.A. de C.V.|Aeromxico Connect|Costera||http://www.flysilverjet.com/|+1-800-237-6639
SLJ|Slam Lavori Aerei S.R.L.|Slam Air|Slamair|Italy||
SLK|Silkair|Silkair|Silkair|||
SLL|Skylink Aviation Limited|Skylink Aviation||Kenya||
SLM|Surinaamse Luchtvaart Maatschappij N.v.||Surinam|||
SLN|Sloane Aviation Ltd|Sloane Aviation Ltd|Sloane|||
SLO|Edgartown Air, Inc.|Edgartown Air|Slow|||
SLP|Salpa Aviation Co. Ltd.|Salpa|Salpa|||
SLQ|Skylink Express||SKYLINK|Canada||
SLR|Silverstone Air Services Ltd.|Silverstone Air|Silverstone|Kenya||
SLS|Aeroservicios Ejecutivos Sinaloenses, S.A.|Aeroservicios Ejecutivos Sinaloenses|Sinaloenses|||
SLT|Salert Air Charters And Relief Services|Salert Air Charters And Relief Services|Salcharters|||
SLU|Avio Sluzba|Avio Sluzba|Avio Sluzba|||
SLV|Slovtrans Air Ltd|Slovtrans Air|Slovtrans|||
SLX|Sky Line Airlines|Sky Line|Slatour|||
SLY|Sky Line For Air Services Ltd|Sky Line For Air Services Ltd|Skyco|||
SMA|Sma Airlines Nig. Limited|Sma Airlines|Sesame|||
SMB|Simba Air Cargo Ltd|Simba Air Cargo Ltd|Simbair|||
SMC|Sabang Merauke Raya Air Charter PT|Sabang Merauke Raya Air Charter PT|Samer|||
SME|Semos|Semos|Semich|||
SMF|Smalandsflyg AB|Smalandsflyg AB|Gordon|||
SMH|Smithair, Inc.|Smithair|Smithair|United States||
SMI|Aero Sami, S.A. de C.V.|Aero Sami de C.V.|Sami|||
SMJ|Avient Aviation||AVAVIA|Zimbabwe||
SML|Smith Air|Smith Air|Smith Air|||
SMN|Zaman|Zaman|Zaman|||
SMP|Sempati Air Transport P.t.|Sempati Air Transport P.t.|Sempati|||
SMR|Aircompany Somon Air LLC||SOMON AIR|||
SMS|Servicios Aerolineas Mexicanas, S.A. de C.V.|Servicios Aerolineas Mexicanas de C.V.|Servimexicanas|||
SMU|Sanborn Map Company||Springer|||
SMZ|Sonmez Airlines|Sonmez|Sonmez|||
SNA|Senator Aviation Charter GMBH, Koln|Senator Aviation Charter|Senator|Germany||
SNB|Sterling European Airlines A/s|Sterling European Airlines|Sterling|Denmark||
SNC|Air Cargo Carriers Inc.|Air Cargo Carriers|Night Cargo|||
SND|San|San|Nurlan|||
SNE|Servicios Aereos Norte Sur, S.A. de C.V.|Servicios Aereos Norte Sur de C.V.|Servnorte|||
SNG|Air Senegal International|||||
SNH|Sunshine Air|Sunshine Air|Sunlink|||
SNJ|Solaseed Air|Solaseed|Newsky|Japan|https://www.solaseedair.jp/|
SNK|Sun Jet International Airlines, Inc.|Sun Jet|Sun King|||
SNL|Soonair Lines, Inc.|Soonair Lines|Soonair|||
SNM|Servizi Aerei Spa|Servizi Aerei Spa|Servizi Aerei|||
SNO|Delta Air Charter Ltd.|Delta Air Charter|Snowball|Canada||
SNP|Sun Pacific International, Inc.|Sun Pacific International|Sun Pacific|||
SNQ|Sun Quest Executive Air Charter, Inc.|Sun Quest Executive Air Charter|Execu-Quest|||
SNR|Aero Sonora, S.A. de C.V.|Aero Sonora de C.V.|Aero Sonora|||
SNT|Suncoast Aviation, Inc.|Suncoast Aviation|Suncoast|||
SNV|Aero Servicio Del Norte, S.A. de C.V.|Aero Servicio Del Norte de C.V.|Servicio Norte|||
SNW|Sun West Airlines|Sun West|Sun West|||
SNX|Sun Air Aviation Services|Sun Air Aviation Services|Sunex|Canada||
SNY|Air Sandy Inc.|Air Sandy|Air Sandy|Canada||
SNZ|Santa Cruise Imperial Airlines|Santa Cruise Imperial Airlines|Santa Cruise|||
SOA|Southern Air Charter Co., Limited|Southern Air Charter|Southern Aircharter|Bahamas||
SOB|Stabo Freight Limited|Stabo Freight|Stabo|||
SOC|Ssa+, Joint-Stock Company|Ssa+, Joint-Stock Company|Sochi|||
SOE|Air Soleil, Societe|Air Soleil|Air Soleil|||
SOH|Southern Ohio Aviation Sales Co.|Southern Ohio Aviation Sales|Southern Ohio|||
SOI|Southern Aviation Limited|Southern Aviation Limited|Soavair|||
SOK|Sokol - ATSC|Sokol - ATSC|Sokol|||
SOL|Solomon Airlines Limited|Solomon Airlines|Solomon||http://www.flysolomons.com|
SOM|Somali Airlines|Somali Airlines|Somalair|||
SON|Sunshine Air Tours|Sunshine Air Tours|Sunshine Tours|||
SOO|Southern Air Inc.|Southern Air|Southern Air|United States|http://www.southernair.com/|
SOP|Solinair Ltd|Solinair Ltd|Solinair|||
SOR|SonAir Airline Services, S.A.|SonAir|SONAIR|Angola||
SOT|Southeast Correct Craft, Inc.|Southeast Correct Craft|South Courier|||
SOU|Southern Airways|Southern Airways|Southern Express|||
SOW|Pink Sparrow GmbH|Pink Sparrow|Sparrow|Austria||
SOY|Soriano, A. Aviation, Inc.|Soriano, A. Aviation|Soriano|||
SPA|Sierra Pacific Airlines|Sierra Pacific|Sierra Pacific|United States||
SPC|Skyworld Airlines|Skyworld|Port|||
SPD|Sky Prime Aviation|Sky Prime Aviation|SKYPRIME|Saudi Arabia|http://www.skyprimeav.com/|
SPE|Sprague Electric Co.|Sprague Electric Co.|Sprague|||
SPG|Springdale Air Service, Inc.|Springdale Air Service|Spring Air|||
SPH|Sociedade Portuguesa de Helicopteros, Lda.|Sociedade Portuguesa de Helicopteros, Lda.|Helibeira|||
SPI|South Pacific Island Airways, Inc.|South Pacific Island Airways|South Pacific|||
SPJ|Air Service|Air Service|Air Skopje|||
SPK|Spectrum Air LLC.|Spectrum Air|Solstas Lab|||+1-877-359-9966
SPM|Air Saint Pierre|Air Saint Pierre||France||
SPN|Skorpion Air|Skorpion Air|Air Skorpio|||
SPO|Aeroservicios Ejecutivos Del Pacifico, S.A.|Aeroservicios Ejecutivos Del Pacifico|Ejecutiv Pacifico|||
SPP|Sapphire Aviation, Inc.|Sapphire Aviation|Sapphire|||
SPR|PAL Aerospace Ltd.|Provincial Aerospace|Speedair|Canada||
SPS|Spasa|Spasa|Salduero|||
SPT|Bengis Aviation|Bengis Aviation|Sprint|||
SPU|Southeast Airmotive Corp.|Southeast Airmotive Corp.|Sputter|||
SPW|Speedwings Sa|Speedwings Sa|Speedwing|||
SPZ|Airworld|Airworld|Speed Service|||
SQA|Slovak National Aeroclub|Slovak National Aeroclub|Slovak Aeroclub|||
SQF|Slovak Air Force|Slovak Air Force|Slovak Airforce|||
SQH|SeaPort Airlines|SeaPort|Sasquatch|United States|http://www.seaportair.com|
SQL|Servicios de Alquiler Aereo, S.A. de C.V.|Servicios de Alquiler Aereo de C.V.|Alquiler|||
SQP|SkyUp Airlines|SkyUp|SKYUP|Ukraine||
SQS|PT ASI Pujiastuti Aviation|Susi Air|SKYQUEEN|Indonesia|http://fly.susiair.com|
SRA|Sair Aviation (FAA)|Sair Aviation (FAA)|Sair|Canada||
SRB|Serb Air|Serb Air|Air Serb|||
SRC|Searca Ltda.|Searca Ltda.|Searca|||
SRE|Simba Airlines Limited|Simba Airlines Limited|Simba Regional|||
SRI|Air Safaris And Services|Air Safaris And Services|Airsafari|||
SRJ|Caucasus Airlines|Caucasus||||
SRK|Skywork SA|Skywork|Skyfox|||
SRL|Varmlandsflyg AB|Varmlandsflyg AB|Starline|||
SRN|Sprintair SA|SprintAir|Sprintair|Poland||
SRO|Servicios Aereos Rutas Oriente S.A. de C.V.|Servicios Aereos Rutas Oriente S.A. de C.V.|Aereos Oriente|||
SRP|Bereitschaftpolizei Rheinland-Pfalz, Winningen|Bereitschaftpolizei Rheinland-Pfalz, Winningen|Sperber|||
SRQ|South East Asian Airlines|Cebgo|Blue Jay|Philippines|https://www.cebupacificair.com/us-en|
SRR|Star Air I/s|Star Air|Whitestar|Denmark|http://www.starair.dk/|
SRS|Southern Sky Airlines JSC|Southern Sky Airlines|Sky South|Kazakhstan||
SRT|Trans Asian Airlines|Trans Asian Airlines|Traser|||
SRU|Star Per||Star Up|Peru||
SRV|Aero Servicio Corporativo, S.A. de C.V.|Aero Servicio Corporativo de C.V.|Servicorp|||
SRX|Sierra Expressway Airlines|Sierra Expressway|Sierra Ex|||
SRY|Charter Air Transport, Inc|Via Airlines|Stingray|United States|https://www.flyviaair.com|
SSA|Star Of Asia|Star Of Asia|Raisa|||
SSB|Sasair Inc.|Sasair|Sasair|Canada||
SSC|Southern Seaplane, Inc.|Southern Seaplane|Southern Skies|||
SSD|Star Service International|Star Service International|Star Service|||
SSE|Servicios Aereos Sunset, S.A. de C.V.|Servicios Aereos Sunset|Sunset|||
SSF|Severstal Air Company||Severstal|Russian Federation||
SSG|Slovak Government Flying Service|Slovak Government Flying Service|Slovak Government|||
SSH|Heritage Flight, Lls|Heritage Flight, Lls|Snowshoe|||
SSJ|KrasAvia|KrasAvia|Siberian Sky|Russian Federation||
SSK|Skystar International, Inc.|Skystar International|Skystar|||
SSL|Air Sultan Limited|Air Sultan Limited|Sierra Sultan|||
SSM|Aero 1 Prop-jet, Inc.|Aero 1 Prop-jet|Rapid|Canada||
SSN|Bop Air|Bop Air|Sunstream|||
SSO|Special Scope Limited|Special Scope|Dope|||
SSP|Starspeed Ltd|Starspeed Ltd|Starspeed|||
SSQ|Sunstate Airlines|Sunstate|Sunstate|||
SSR|Sempati Air, Pt.|Sempati Air|Spirow|||
SSS|Compania de Servicios Aereos, S.A.|Compania de Servicios Aereos|Saesa|||
SST|Royal Canadian Mounted Police|RCMP|Stetson|Canada||
SSW|Streamline Aviation Ltd|Streamline Aviation|Streamline|||
SSZ|Specsavers Aviation|||United Kingdom||
STA|Star Aviation|Star Aviation|Star|||
STB|Staero Ltd|Staero Ltd|Staero|||
STC|Stadium City Limited|Stadium City Limited|Stadium|||
STE|Semitool Europe Ltd|Semitool Europe|Semitrans|||
STG|Sedalia, Marshall, Boonville Stage Line, Inc.|Sedalia, Marshall, Boonville Stage Line|Stage|||
STI|Sontair Ltd.|Sontair|Sontair|Canada||
STK|Stobart Air (Comhforbairt Gaillimh)|Stobart Air||||
STL|Stapleford Flight Centre|Stapleford Flight Centre|Stapleford|||
STM|Sociedad Anonima Empresa de Turismo Aereo|Sociedad Anonima Empresa de Turismo Aereo|Saetura|||
STN|St. Athan Mu|St. Athan Mu|Saint Athan|||
STO|Aero Santos, S.A. de C.V.|Aero Santos de C.V.|Aero Santos|||
STP|STP Airways|STP Airways|SAOTOME AIRWAYS|Sao Tome and Principe|http://www.stpairways.st/|
STQ|Siberia-Interavia, Joint-Stock Company|Siberia-Interavia|Sibinter|||
STR|Astanair-Kazakhstan|Astanair-Kazakhstan|Atnar|||
STT|Western Air Charter|Western Air Charter|Sawtooth|||
STV|Saturn Aviation, LLC|Saturn Aviation|SATURN|United States|http://www.saturnaviation.com/|512-530-7080
STW|Start, Joint-Stock Company|Start|Start Charter|||
STX|Aerocharter|Aerocharter|Sky Taxi|||
STY|Altius Aviation, LLC|Altius Aviation|ALTAIR|||
STZ|Sat Air|Sat Air|Air Sat|||
SUA|Aviation Associates, Inc. D/B/A Eastern Metro Express|Aviation Associates D/B/A Eastern Metro Express|Sunbird|||
SUB|Suburban Air Freight, Inc.|Suburban Air Freight|Sub Air||http://subair.com|
SUC|Suramericana de Aviacion, C.a.|Suramericana de Aviacion, C.a.|Surca|||
SUD|Sudan Airways|Sudan Airways|Sudanair|Sudan||
SUE|Aerolineas Del Sureste, S.A.|Aerolineas Del Sureste|Aerosureste|||
SUF|Sunflower Airlines Limited|Sunflower Airlines|Sunflower|||
SUH|Sukhoi Civil Aviation|Sukhoi Civil Aviation|Fighter|||
SUI|Swiss Air Force|Swiss Air Force|Airforce Switzerland|Switzerland||
SUK|Superior Aviation Services|Superior Aviation Services||Kenya||
SUL|Asta Linhas Aereas Ltda|Asta Linhas Areas|Astair|Brazil||
SUM|State Unitary Air Enterprise|State Unitary Air Enterprise|Sumes|||
SUP|Aeronautical Charters||SUNSPEED|||
SUR|Surrey & Kent Flying Club|Surrey & Kent Flying Club|Surrey|||
SUS|Sun-Air of Scandinavia A/S|Sun-Air of Scandinavia|Sunscan|Denmark||
SUU|Star West Aviation|Star West Aviation|Sunstar|||
SUY|Aerial Surveys|Aerial Surveys|Survey|||
SUZ|Premiair Charter Limited|Premiair Charter Limited|Suzy|||
SVA|Saudi Arabian Airlines|Saudia|Saudia|Saudi Arabia|http://www.saudiairlines.com/index2.jsp|+1-800-472-8342
SVB|Svea Flyg AB|Svea Flyg AB|Sveaflyg|||
SVD|St. Vincent Grenadines Air|St. Vincent Grenadines Air|Grenadines|||
SVE|Aero Servicios Especializados, S.A. de C.V.|Aero Servicios Especializados de C.V.|Aeroespecial|||
SVF|Swedish Armed Forces|Swedish Armed Forces|Swedeforce|Sweden||
SVI|Servicios de Transporte Aereo, S.A. de C.V.|Servicios de Transporte Aereo de C.V.|Setra|||
SVL|Alante Air Charter|Sun Devil|Sun Devil|United States||
SVM|Aeroservicios Monterrey, S.A. de C.V.|Aeroservicios Monterrey de C.V.|Servimonte|||
SVN|Savanair|Savanair|Savanair|||
SVO|Servicios Aeronauticos de Oriente, S.A. de C.V.|Servicios Aeronauticos de Oriente de C.V.|Servioriente|||
SVP|Saratov Aviation Plant, Joint-Stock Company|Saratov Aviation Plant|Sazavia|||
SVR|Ural Airlines|Ural|Sverdlovsk Air|Russian Federation||
SVS|Servicios Aereos Saar, S.A. de C.V.|Servicios Aereos Saar de C.V.|Aereos Saar|||
SVT|Sakhaviatrans|Sakhaviatrans|Air Sakhalin|||
SVV|Empresa Servicios Avensa, S.A.|Empresa Servicios Avensa|Servivensa|||
SVW|Silver Arrows S.a.|Silver Arrows|Silver Arrows|||
SVX|Security Aviation, Inc.|Security Aviation||United States||
SWA|Southwest Airlines Co.|Southwest|Southwest|United States|http://www.southwest.com/|+1-800-435-9792
SWC|South West Air Ltd.|South West Air|Saint Clair|Canada||
SWD|TRIFLY, LLC|TriFLY|SAWBLADE|||
SWE|Swedeways AB|Swedeways AB|Swedeline|||
SWG|Sunwing Airlines Inc.|Sunwing|Sunwing|Canada|http://www.flysunwing.com/|
SWH|Adler Aviation Ltd|Adler Aviation Ltd|Shockwave|Canada||
SWI|Sunworld International Airways, Inc.|Sunworld International Airways|Sunworld|United States||
SWJ|Stateswest Airlines, Inc.|Stateswest|States|||
SWK|General Aerospace Inc.|General Aerospace|Skywalker|||
SWL|Swe Aviation Europe AB|Swe Aviation Europe AB|Swing|||
SWM|Sky Angkor Airlines|SKY ANGKOR|SKY ANGKOR|Cambodia||
SWN|West Air Sweden AB|West Air Sweden|Air Sweden|||
SWO|Swiss World Airways|Swiss World|Swissworld|||
SWP|Star Work Sky|Star Work Sky|Star Work|||
SWQ|Interstate Equipment Leasing, Inc. D/B/A Swift Air|Swift Air|Swiftflight|United States|http://www.flyswiftair.com/|
SWR|Swiss International Air Lines|Swiss|SWISS|Switzerland|https://www.swiss.com|+1-877-359-7947
SWS|Lindquist Investment Co., Ltd. D/B/A Sunwest Aviation|Lindquist Investment|Sunny West|||
SWT|Swiftair, S.a.|Swiftair|Swift|Spain||
SWV|Svensk Luftambulans|Svensk Luftambulans|Swedemed|Sweden||
SWW|Intersun Havacilik Anonim Sirketi|Intersun Havacilik Anonim Sirketi|Intersun|||
SWX|Swazi Express Airways|Swazi Express|Swazi Express|||
SWZ|Servair, Private Charter AG|Servair|Swissbird|||
SXA|Southern Cross Aviation, Inc.|Southern Cross Aviation|Ferry|||
SXC|Sky Exec Aviation Services|Sky Exec Aviation Services|Sky Exec|||
SXD|SunExpress Deutschland|SunExpress Deutschland|Sunrise|||
SXE|Southeast Express Airlines, Inc.|Southeast Express|Dogwood Express|||
SXI|Southern Cross International||Southern Cross|Netherlands|http://www.southernx.nl|
SXL|Skyline Flight|Skyline Flight|Sonic|||
SXN|Sal Luftverkehrs GMBH, Flughafen Leipzig-Halle|SaxonAir|SAXONAIR||http://www.saxonair.com|
SXS|Sun Express|Sun Express||Turkey||
SXT|Servicios de Taxi Aereo, S.A. de C.V|Servicios de Taxi Aereo de C.V|Serta|||
SXX|Satellite Aero, Inc.|Satellite Aero|Satellite Express|||
SXY|Skyway Airlines/Astral Aviation|||||
SYA|Syphax Airlines S A|Syphax Airlines|Syphaxair|Tunisia||
SYB|Symbol Publicidad, S.A.|Symbol Publicidad|Symbolair|||
SYC|Systec 2000, Inc.|Systec 2000|Systec|||
SYD|Air Yendis Limited|Air Yendis Limited|Yendis|||
SYF|Sky One Express Airlines Inc.|Sky One Express|Sky First|||
SYG|Synergy Aviation Ltd.|Synergy Aviation|Synergy|United Kingdom||
SYJ|Slate Falls Airways Ltd.|Slate Falls Airways||Canada||
SYK|Satsair|Satsair|Aerocab|||
SYL|Yakutia Airlines|Yakutia Airlines|AIR YAKUTIA|Russian Federation||
SYN|Syncrude Canada Ltd|Syncrude Canada|Syncrude|Canada||
SYP|Skyplan East Africa Ltd|Skyplan East Africa|Sky Plan|||
SYR|Syrian Arab Airlines|Syrian Arab Airlines|Syrianair|||
SYS|Shawbury Ftu|Shawbury Ftu|Shawbury|||
SYZ|Southend Cargo Airlines|Southend Cargo|Southend|||
SZA|Aerolineas de El Salvador, S.A.|Aerolineas de El Salvador|Aesa|||
SZN|Air Senegal|Air Senegal|Sensa|Senegal||
SZS|Scandinavian Airlines Ireland Limited|Scandinavian Airlines Ireland|Spinnaker|Ireland||
SZT|Servicios Aeronauticos Z, S.A. de C.V.|Servicios Aeronauticos Z de C.V.|Aero Zee|||
SZX|Zambian Express Airways Limited|Zambian Express|Zambex|Zambia||
TAA|Aerotamatan, S.A. de C.V.|Aerotamatan de C.V.|Tamatan|||
TAB|Taba, Transportes Aereos Da Bacia Amazonica S.A.|Taba, Transportes Aereos Da Bacia Amazonica S.A.|Taba|||
TAC|Turbot Air Cargo|Turbot Air Cargo|Turbot|||
TAD|Transporte Aereo Dominicano, S.A.|Transporte Aereo Dominicano|Trans Dominican|||
TAE|TAME EP LINEA AEREA DEL ECUADOR|Tame Ep|Tame|||
TAG|Tag Aviation Usa, Inc.|Tag Aviation Usa|Tag-US|||
TAH|Air Moorea|Air Moorea|Air Moorea|||
TAI|Taca International Airlines S.a.|Avianca El Salvador|TACA|El Salvador|https://www.avianca.com/sv/en/|
TAJ|Tunisavia - Societe de Transports, Services Et Travaux Aeriens|Tunisavia - Societe de Transports, Services Et Travaux Aeriens|Tunisavia|||
TAL|Talair Pty. Ltd.|Talair|Talair|||
TAM|LATAM Airlines Brasil|LATAM Brasil|Tam|Brazil|http://www.tam.com.br/|+1-888-235-9826
TAN|ZanAir Limited|ZanAir|Zanair|Tanzania||
TAO|Transportes Aeromar|Transportes Aeromar|Trans-Aeromar|||
TAP|Transportes Aereos Portugueses, E.p.|Transportes Aereos Portugueses|Air Portugal|Portugal|http://www.flytap.com/USA/en/Homepage/|+1-800-221-7370
TAQ|Taunus Air GMBH & Co K, Wiesbaden|Taunus Air|Taunusair|||
TAR|Tunis Air - Societe Tunisienne de L'air|Tunis Air|Tunair|Tunisia||
TAS|Lotus Airline|Lotus Airline|Lotus Flower|||
TASI|FAA Flight Standards Service, Flight Program Division|FAA Flight Standards Service, Flight Program Division|Tasi|United States||
TAT|Tat-European Airlines|Tat-European|Tat|||
TAU|Asociados Latinoamericanos de Transporte Aereo|Asociados Latinoamericanos de Transporte Aereo|Aero Alta|||
TAV|Compania de Servicios Aereos Tavisa|Compania de Servicios Aereos Tavisa|Tavisa|||
TAX|Thai AirAsia X|Thai AirAsia X|EXPRESS WING|Thailand|http://www.airasia.com/us/en/home.page?cid=1|
TAY|TNT Airways|ASL Airlines Belgium|QUALITY|Belgium|http://www.aslairlines.be/|
TAZ|Transporte Aereo de la Amazonia|Transporte Aereo de la Amazonia|Amazon|||
TBA|Transbrasil S.A. Linhas Aereas|Tibet Airlines|Tibet|China||
TBC|Transportes ABC, S.A. de C.V.|Transportes ABC de C.V.|Trans-ABC|||
TBD|Thunderbird Tours|Thunderbird Tours|Orca|Canada||
TBG|Tropical Airlines D'Haiti|||||
TBI|Tab Express International|Tab Express|Tab International|||
TBJ|Tag Jet|Tag|TAG JET|||
TBM|Taban Air||TABAN AIR|||
TBN|Taban Airlines|Taban Airlines|TABAN AIR|Iran|http://taban.aero/en/|
TBO|Taxis Aereos de Caborca, S.A. de C.V.|Taxis Aereos de Caborca de C.V.|Taxis Caborca|||
TBR|Tubelair|Tubelair|Tubelair|||
TBS|Timbis Air Services|Timbis Air Services|Timbis|Kenya||
TBZ|ATA Airlines|ATA Airlines|Atalar Air|Iran|http://www.ataair.ir/|
